timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint,air_temperature,outdoor_temperature
2012-01-01 03:51:00 EST,+2.72287,+1.34988,+68,+68.6177,+14.9888
2012-01-01 03:52:00 EST,+2.7231,+1.34982,+68,+68.6342,+15.0004
2012-01-01 03:53:00 EST,+2.72331,+1.34976,+68,+68.6495,+15.0116
2012-01-01 03:54:00 EST,+2.72353,+1.34971,+68,+68.6639,+15.0226
2012-01-01 03:55:00 EST,+2.72373,+1.34966,+68,+68.6775,+15.0332
2012-01-01 03:56:00 EST,+2.72393,+1.34961,+68,+68.6905,+15.0436
2012-01-01 03:57:00 EST,+2.72413,+1.34956,+68,+68.7029,+15.0536
2012-01-01 03:58:00 EST,+2.72431,+1.34951,+68,+68.7148,+15.0634
2012-01-01 03:59:00 EST,+2.7245,+1.34946,+68,+68.7263,+15.0728
2012-01-01 04:00:00 EST,+2.72467,+1.34942,+68,+68.7375,+15.082
2012-01-01 04:01:00 EST,+2.72467,+1.34942,+68,+68.7484,+15.082
2012-01-01 04:02:00 EST,+2.72467,+1.34942,+68,+68.759,+15.082
2012-01-01 04:03:00 EST,+2.72467,+1.34942,+68,+68.7693,+15.082
2012-01-01 04:04:00 EST,+2.72467,+1.34942,+68,+68.7793,+15.082
2012-01-01 04:05:00 EST,+2.72467,+1.34942,+68,+68.7892,+15.082
2012-01-01 04:06:00 EST,+2.72467,+1.34942,+68,+68.7988,+15.082
2012-01-01 04:07:00 EST,+2.72467,+1.34942,+68,+68.8078,+15.082
2012-01-01 04:08:00 EST,+2.72467,+1.34942,+68,+68.8168,+15.082
2012-01-01 04:09:00 EST,+2.72467,+1.34942,+68,+68.8257,+15.082
2012-01-01 04:10:00 EST,+2.72467,+1.34942,+68,+68.8346,+15.082
2012-01-01 04:11:00 EST,+2.72467,+1.34942,+68,+68.8434,+15.082
2012-01-01 04:12:00 EST,+2.72467,+1.34942,+68,+68.8522,+15.082
2012-01-01 04:13:00 EST,+2.72467,+1.34942,+68,+68.861,+15.082
2012-01-01 04:14:00 EST,+2.72467,+1.34942,+68,+68.8698,+15.082
2012-01-01 04:15:00 EST,+2.72467,+1.34942,+68,+68.8785,+15.082
2012-01-01 04:16:00 EST,+2.72467,+1.34942,+68,+68.8873,+15.082
2012-01-01 04:17:00 EST,+2.72467,+1.34942,+68,+68.896,+15.082
2012-01-01 04:18:00 EST,+2.72467,+1.34942,+68,+68.9047,+15.082
2012-01-01 04:19:00 EST,+2.72467,+1.34942,+68,+68.9134,+15.082
2012-01-01 04:20:00 EST,+2.72467,+1.34942,+68,+68.922,+15.082
2012-01-01 04:21:00 EST,+2.72467,+1.34942,+68,+68.9307,+15.082
2012-01-01 04:22:00 EST,+2.72467,+1.34942,+68,+68.9393,+15.082
2012-01-01 04:23:00 EST,+2.72467,+1.34942,+68,+68.948,+15.082
2012-01-01 04:24:00 EST,+2.72467,+1.34942,+68,+68.9566,+15.082
2012-01-01 04:25:00 EST,+2.72467,+1.34942,+68,+68.9653,+15.082
2012-01-01 04:26:00 EST,+2.72467,+1.34942,+68,+68.9739,+15.082
2012-01-01 04:27:00 EST,+2.72467,+1.34942,+68,+68.9825,+15.082
2012-01-01 04:28:00 EST,+2.72467,+1.34942,+68,+68.9911,+15.082
2012-01-01 04:29:00 EST,+2.72467,+1.34942,+68,+68.9997,+15.082
2012-01-01 04:30:00 EST,+2.72467,+1.34942,+68,+69.0083,+15.082
2012-01-01 04:31:00 EST,+2.72467,+1.34942,+68,+68.7304,+15.082
2012-01-01 04:32:00 EST,+2.72467,+1.34942,+68,+68.4939,+15.082
2012-01-01 04:33:00 EST,+2.72467,+1.34942,+68,+68.2919,+15.082
2012-01-01 04:34:00 EST,+2.72467,+1.34942,+68,+68.1189,+15.082
2012-01-01 04:35:00 EST,+2.72467,+1.34942,+68,+67.97,+15.082
2012-01-01 04:36:00 EST,+2.72467,+1.34942,+68,+67.8414,+15.082
2012-01-01 04:37:00 EST,+2.72467,+1.34942,+68,+67.7297,+15.082
2012-01-01 04:38:00 EST,+2.72467,+1.34942,+68,+67.6322,+15.082
2012-01-01 04:39:00 EST,+2.72467,+1.34942,+68,+67.5465,+15.082
2012-01-01 04:40:00 EST,+2.72467,+1.34942,+68,+67.4707,+15.082
2012-01-01 04:41:00 EST,+2.72467,+1.34942,+68,+67.4031,+15.082
2012-01-01 04:42:00 EST,+2.72467,+1.34942,+68,+67.3426,+15.082
2012-01-01 04:43:00 EST,+2.72467,+1.34942,+68,+67.2878,+15.082
2012-01-01 04:44:00 EST,+2.72467,+1.34942,+68,+67.2378,+15.082
2012-01-01 04:45:00 EST,+2.72467,+1.34942,+68,+67.1919,+15.082
2012-01-01 04:46:00 EST,+2.72467,+1.34942,+68,+67.1494,+15.082
2012-01-01 04:47:00 EST,+2.72467,+1.34942,+68,+67.1098,+15.082
2012-01-01 04:48:00 EST,+2.72467,+1.34942,+68,+67.0725,+15.082
2012-01-01 04:49:00 EST,+2.72467,+1.34942,+68,+67.0372,+15.082
2012-01-01 04:50:00 EST,+2.72467,+1.34942,+68,+67.0036,+15.082
2012-01-01 04:51:00 EST,+2.72467,+1.34942,+68,+66.9714,+15.082
2012-01-01 04:52:00 EST,+2.72467,+1.34942,+68,+67.2269,+15.082
